t		x	y	z	Vx	Vy	Vz		x	y	z	Vx	Vy	Vz
0		-230000000	-280000000	-70000000	0	0	0		80000000	-90000000	55000000	500	-400	800
60		-230000000	-280000000	-70000000	0.001603861	0.000983012	0.000646718		80030000	-90024000	55048000	499.8696381	-400.0798992	799.9474347
120		-229999999.9	-279999999.9	-69999999.96	0.003207878	0.001965899	0.001293685		80059992.18	-90048004.79	55095996.85	499.7392637	-400.1597883	799.8948493
180		-229999999.7	-279999999.8	-69999999.88	0.004812049	0.002948662	0.0019409		80089976.53	-90072014.38	55143990.54	499.6088766	-400.2396673	799.8422436
240		-229999999.4	-279999999.6	-69999999.77	0.006416376	0.003931302	0.002588363		80119953.07	-90096028.76	55191981.07	499.4784769	-400.3195363	799.7896178
300		-229999999	-279999999.4	-69999999.61	0.008020857	0.004913816	0.003236074		80149921.78	-90120047.93	55239968.45	499.3480646	-400.3993951	799.7369718
360		-229999998.6	-279999999.1	-69999999.42	0.009625494	0.005896207	0.003884034		80179882.66	-90144071.9	55287952.67	499.2176396	-400.4792438	799.6843056
420		-229999998	-279999998.8	-69999999.18	0.011230286	0.006878473	0.004532242		80209835.72	-90168100.65	55335933.73	499.0872021	-400.5590824	799.6316193
480		-229999997.3	-279999998.3	-69999998.91	0.012835233	0.007860615	0.005180698		80239780.95	-90192134.2	55383911.62	498.956752	-400.638911	799.5789128
540		-229999996.5	-279999997.9	-69999998.6	0.014440335	0.008842633	0.005829403		80269718.35	-90216172.53	55431886.36	498.8262893	-400.7187294	799.526186
600		-229999995.7	-279999997.3	-69999998.25	0.016045591	0.009824526	0.006478355		80299647.93	-90240215.66	55479857.93	498.6958141	-400.7985377	799.4734392
660		-229999994.7	-279999996.8	-69999997.86	0.017651003	0.010806295	0.007127556		80329569.68	-90264263.57	55527826.33	498.5653262	-400.8783359	799.4206721
720		-229999993.6	-279999996.1	-69999997.44	0.019256569	0.011787939	0.007777005		80359483.6	-90288316.27	55575791.58	498.4348257	-400.9581239	799.3678849
780		-229999992.5	-279999995.4	-69999996.97	0.02086229	0.012769459	0.008426702		80389389.69	-90312373.76	55623753.65	498.3043127	-401.0379019	799.3150775
840		-229999991.2	-279999994.6	-69999996.46	0.022468165	0.013750855	0.009076648		80419287.95	-90336436.03	55671712.55	498.1737871	-401.1176697	799.2622499
900		-229999989.9	-279999993.8	-69999995.92	0.024074196	0.014732126	0.009726841		80449178.38	-90360503.09	55719668.29	498.0432489	-401.1974275	799.2094022
960		-229999988.4	-279999992.9	-69999995.34	0.025680381	0.015713272	0.010377283		80479060.97	-90384574.93	55767620.85	497.9126982	-401.2771751	799.1565343
1020		-229999986.9	-279999992	-69999994.71	0.027286721	0.016694294	0.011027972		80508935.73	-90408651.57	55815570.24	497.7821348	-401.3569125	799.1036462
1080		-229999985.3	-279999991	-69999994.05	0.028893215	0.017675192	0.01167891		80538802.66	-90432732.98	55863516.46	497.651559	-401.4366399	799.050738
1140		-229999983.5	-279999989.9	-69999993.35	0.030499863	0.018655964	0.012330096		80568661.75	-90456819.18	55911459.51	497.5209705	-401.5163571	798.9978096
1200		-229999981.7	-279999988.8	-69999992.61	0.032106667	0.019636613	0.01298153		80598513.01	-90480910.16	55959399.38	497.3903695	-401.5960642	798.944861
1260		-229999979.8	-279999987.6	-69999991.83	0.033713624	0.020617136	0.013633212		80628356.43	-90505005.92	56007336.07	497.259756	-401.6757612	798.8918923
1320		-229999977.8	-279999986.4	-69999991.01	0.035320736	0.021597535	0.014285142		80658192.02	-90529106.47	56055269.58	497.1291299	-401.755448	798.8389034
1380		-229999975.6	-279999985.1	-69999990.16	0.036928003	0.022577809	0.014937319		80688019.77	-90553211.8	56103199.92	496.9984913	-401.8351247	798.7858944
1440		-229999973.4	-279999983.7	-69999989.26	0.038535423	0.023557958	0.015589745		80717839.68	-90577321.9	56151127.07	496.8678401	-401.9147913	798.7328652
1500		-229999971.1	-279999982.3	-69999988.32	0.040142998	0.024537983	0.016242419		80747651.75	-90601436.79	56199051.04	496.7371764	-401.9944477	798.6798159
1560		-229999968.7	-279999980.9	-69999987.35	0.041750727	0.025517883	0.016895341		80777455.98	-90625556.46	56246971.83	496.6065001	-402.074094	798.6267464
1620		-229999966.2	-279999979.3	-69999986.34	0.043358611	0.026497658	0.01754851		80807252.37	-90649680.9	56294889.43	496.4758113	-402.1537301	798.5736567
1680		-229999963.6	-279999977.7	-69999985.28	0.044966648	0.027477308	0.018201928		80837040.92	-90673810.13	56342803.85	496.34511	-402.2333561	798.520547
1740		-229999960.9	-279999976.1	-69999984.19	0.04657484	0.028456834	0.018855593		80866821.62	-90697944.13	56390715.09	496.2143962	-402.312972	798.467417
1800		-229999958.1	-279999974.4	-69999983.06	0.048183185	0.029436234	0.019509507		80896594.49	-90722082.91	56438623.13	496.0836698	-402.3925777	798.4142669
1860		-229999955.2	-279999972.6	-69999981.89	0.049791685	0.03041551	0.020163668		80926359.51	-90746226.46	56486527.99	495.9529309	-402.4721732	798.3610967
1920		-229999952.2	-279999970.8	-69999980.68	0.051400339	0.031394661	0.020818077		80956116.68	-90770374.79	56534429.65	495.8221795	-402.5517586	798.3079063
1980		-229999949.1	-279999968.9	-69999979.43	0.053009146	0.032373687	0.021472734		80985866.01	-90794527.9	56582328.13	495.6914156	-402.6313339	798.2546958
2040		-229999946	-279999967	-69999978.14	0.054618108	0.033352587	0.022127638		81015607.5	-90818685.78	56630223.41	495.5606392	-402.7108989	798.2014651
2100		-229999942.7	-279999965	-69999976.81	0.056227223	0.034331363	0.022782791		81045341.14	-90842848.43	56678115.5	495.4298502	-402.7904539	798.1482143
2160		-229999939.3	-279999962.9	-69999975.45	0.057836492	0.035310014	0.023438191		81075066.93	-90867015.86	56726004.39	495.2990488	-402.8699986	798.0949434
2220		-229999935.8	-279999960.8	-69999974.04	0.059445915	0.03628854	0.024093839		81104784.87	-90891188.06	56773890.09	495.1682349	-402.9495332	798.0416523
2280		-229999932.3	-279999958.6	-69999972.6	0.061055492	0.03726694	0.024749735		81134494.97	-90915365.03	56821772.59	495.0374085	-403.0290576	797.9883411
2340		-229999928.6	-279999956.4	-69999971.11	0.062665222	0.038245216	0.025405878		81164197.21	-90939546.77	56869651.89	494.9065695	-403.1085719	797.9350097
